title,publication_frequency,url,place_of_publication,publisher,lccn_number,oclc_number,primary_language,start_year,end_year,city,county,state,latitude,longitude,place_0,subject_0,subject_1,note_0,note_1,note_2,note_3,the_geom,cartodb_id,created_at,updated_at
Jewish Journal,Semimonthly (monthly in July and Aug.),http://chroniclingamerica.loc.gov/lccn/sn88078394,"Youngstown, Ohio",Youngstown Area Jewish Federation,sn88078394,17695010,English,1987-01-01 00:00:00+00,,Youngstown,Mahoning,Ohio,41.09978,-80.649519,Ohio--Mahoning--Youngstown,Jewish newspapers--Ohio.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E61000005CC823B8912954C0BF654E97C58C4440,136,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Times,Monthly,http://chroniclingamerica.loc.gov/lccn/sn99060616,"San Francisco, Calif.",Cal-State Pub. Co.,sn99060616,41061388,English,1950-01-01 00:00:00+00,1999-01-01 00:00:00+00,San Francisco,San Francisco,California,37.77493,-122.419416,California--San Francisco--San Francisco,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,,,,,0101000020E6100000D3DA34B6D79A5EC03A58FFE730E34240,137,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Weekly Gleaner,Weekly,http://chroniclingamerica.loc.gov/lccn/sn99060620,San Francisco [Calif.],Julius Eckmann,sn99060620,41061481,English,1857-01-01 00:00:00+00,1999-01-01 00:00:00+00,San Francisco,San Francisco,California,37.77493,-122.419416,California--San Francisco--San Francisco,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,Master negatives are available for duplication from:,,,,0101000020E6100000D3DA34B6D79A5EC03A58FFE730E34240,138,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Press,Weekly,http://chroniclingamerica.loc.gov/lccn/sn99060621,"Oakland ;",Jewish Press,sn99060621,41061486,English,1930-01-01 00:00:00+00,1999-01-01 00:00:00+00,Oakland,Alameda,California,37.804364,-122.271114,California--Alameda--Oakland,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,In Yiddish and English.,,,,0101000020E610000037DF88EE59915EC0350A4966F5E64240,139,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Boston Advocate,Weekly,http://chroniclingamerica.loc.gov/lccn/sn89070085,"Boston, Mass.",Boston Advocate Co.,sn89070085,19869198,English,1905-01-01 00:00:00+00,1909-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--New England.,Jewish newspapers.--fast--(OCoLC)fst00982872,Also issued on microfilm from the New York Public Library.,,,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,140,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Heritage,Weekly,http://chroniclingamerica.loc.gov/lccn/sn89070117,"Los Angeles, Calif.",Heritage Pub. Co.,sn89070117,19931986,English,1954-01-01 00:00:00+00,1958-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,"""A Jewish family weekly.""","Merged with: Southwest Jewish press, to become: Heritage Southwest Jewish press, and: Southwest Jewish press heritage.",,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,141,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Nyu York“£Er Abend Post“£ = Ny Jewish Abend-Post,Daily (except Sat. and Jewish holidays),http://chroniclingamerica.loc.gov/lccn/sn89070128,"New York, N.Y.",Saphirstein & Rosenbaum,sn89070128,20552158,Yiddish,1899-01-01 00:00:00+00,1901-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,Also issued on microfilm from the New York Public Library.,In Yiddish.,Some issues called: City edition.,Weekly ed.: Der Idisher zshurnal.,0101000020E6100000282D5C56618052C0588E90813C5B4440,142,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Tribune,Weekly,http://chroniclingamerica.loc.gov/lccn/sn90061822,St. Louis [Mo.],Tribune Pub. Co.,sn90061822,21915227,English,1879-01-01 00:00:00+00,1884-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Jewish newspapers--Missouri.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Issues for Aug. 10, 1883-Apr. 4, 1884 called new ser., v. 1, no. 1-new ser., v. 2, no. 14; issues for Apr. <18>-25, 1884 called v. 20, no. <2>-v. 20, no. 3.","Issues for for Oct. 6, 1882-Apr. 25, 1884 called also whole no. 164-whole no. 245.","Published simultaneously in Cincinnati, St. Louis and Chicago, Apr. <18>-25, 1884.",,0101000020E61000008445459C4EE855C07214200A66F04440,143,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Journal,Monthly,http://chroniclingamerica.loc.gov/lccn/sn93050651,"Shreveport, La.",Jewish Journal Pub. Co.,sn93050651,28866226,English,1937-01-01 00:00:00+00,1999-01-01 00:00:00+00,Shreveport,Caddo,Louisiana,32.525152,-93.750179,Louisiana--Caddo--Shreveport,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""Published in the interest of Jewish communities.""","Description based on: Vol. 4, no. 8 (Apr. 1941).",,,0101000020E610000058C9C7EE027057C0E9B6442E38434040,144,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Greater Saint Louis Jewish Star,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068771,"St. Louis, Mo.",Charles L. Klotzer,sn95068771,32196915,English,1954-01-01 00:00:00+00,1959-01-01 00:00:00+00,Saint Louis,,Missouri,38.627003,-90.199404,Missouri--Saint Louis,Jewish newspapers--Missouri.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 1, no. 16 (Dec. 20, 1954).",,,,0101000020E610000043ACFE08C38C56C038BF61A241504340,145,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Kansas City Jewish News,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068772,"Kansas City, Mo.",[s.n.],sn95068772,32197562,English,1930-01-01 00:00:00+00,1939-01-01 00:00:00+00,Kansas City,Jackson,Missouri,39.099727,-94.578567,Missouri--Jackson--Kansas City,Jewish newspapers--Missouri.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 3, no. 1 (Feb. 10, 1933).",,,,0101000020E6100000DFE2E13D07A557C09CC3B5DAC38C4340,146,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Southern Illinois Jewish Community News,Ten issues yearly,http://chroniclingamerica.loc.gov/lccn/sn95068777,"East St. Louis, Ill.",Jewish Federation of Southern Illinois,sn95068777,32208058,English,1945-01-01 00:00:00+00,1949-01-01 00:00:00+00,East Saint Louis,Saint Clair,Illinois,38.624514,-90.150646,Illinois--Saint Clair--East Saint Louis,Illinois.--fast--(OCoLC)fst01205143,Jewish newspapers--Illinois.,,,,,0101000020E61000007CD11E2FA48956C073F22213F04F4340,147,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Community News Of Southern Illinois,Ten issues yearly,http://chroniclingamerica.loc.gov/lccn/sn95068778,"East St. Louis, Ill.",Jewish Federation of Southern Illinois,sn95068778,32208135,English,1949-01-01 00:00:00+00,1964-01-01 00:00:00+00,East Saint Louis,Saint Clair,Illinois,38.624514,-90.150646,Illinois--Saint Clair--East Saint Louis,Illinois.--fast--(OCoLC)fst01205143,Jewish newspapers--Illinois.,,,,,0101000020E61000007CD11E2FA48956C073F22213F04F4340,148,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Valley Jewish News,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068786,"Van Nuys, Calif.",California Jewish News Publications,sn95068786,32225162,English,1960-01-01 00:00:00+00,1999-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,"Description based on: Vol. 22, no. 28 (Apr. 2, 1964).",,,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,149,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Leader,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068798,"Pittsburgh, Pa.",Jewish Leader Pub. Co.,sn95068798,32299181,English,1940-01-01 00:00:00+00,1949-01-01 00:00:00+00,Pittsburgh,Allegheny,Pennsylvania,40.440625,-79.995886,Pennsylvania--Allegheny--Pittsburgh,Jewish newspapers--Pennsylvania.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 57, no. 3 (Sept. 15, 1944).",,,,0101000020E6100000D522A298BCFF53C06666666666384440,150,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Journal Of The Anthracite Region,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068799,"Wilkes-Barre, Pa.",William H. Jaffee,sn95068799,32299786,English,1930-01-01 00:00:00+00,1939-01-01 00:00:00+00,Scranton,Lackawanna,Pennsylvania,41.408969,-75.662412,Pennsylvania--Lackawanna--Scranton,Jewish newspapers--Pennsylvania.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""Scranton, Wilkes-Barre, Hazleton.""","Description based on: Vol. 2, no. 2 (Oct. 9, 1936).",,,0101000020E6100000971E4DF564EA52C0F609A01859B44440,151,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Mail,Monthly,http://chroniclingamerica.loc.gov/lccn/sn95068809,"B'klyn [i.e. Brooklyn], N.Y.",M.J. Nurenberger,sn95068809,32583942,English,1950-01-01 00:00:00+00,1959-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 2, no. 4 (Feb. 2, 1951).","Issued also in a regional ed. for Detroit, <1952> and a national ed., <1953>.","Issues for Nov. 21, 1952-<Sept. 1953> called: City ed.","Published in Easton, Pa., <July 18, 1952-Oct. 1953>.",0101000020E61000006F10AD156D7C52C0F06E6589CE564440,152,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
New England Jewish World,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068514,"Boston, Mass.",[s.n.],sn95068514,31800057,English,1932-01-01 00:00:00+00,1939-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--New England.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 1, no. 6 (Oct. 6, 1932).",In English and Yiddish.,Second section in Yiddish under title: Idishe ví£eltí£.,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,153,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Boston Jewish World,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068515,"Boston, Mass.",World Pub. Co.,sn95068515,31800219,English,1930-01-01 00:00:00+00,1938-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--New England.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 3, no. 37 (Oct. 11, 1935).",In English and Yiddish.,Second section in Yiddish under title: Idishe ví£eltí£.,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,154,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Idishe Prese = The Jewish Press = Di Yiddishe Presse,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068742,"Los Angeles, Calif.",H.E. Robbins,sn95068742,32006982,English,1930-01-01 00:00:00+00,1936-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,"Description based on: Vol. 2, no. 9 (Apr. 12, 1935).","English title varies: The Jewish press of California, Dec. 13, 1935-1936.",In Yiddish and English.,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,155,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Weekly Times,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068743,"Brookline, Mass.",James Kahn,sn95068743,32080009,English,1945-01-01 00:00:00+00,1950-01-01 00:00:00+00,Brookline,Norfolk,Massachusetts,42.331764,-71.121163,Massachusetts--Norfolk--Brookline,Jewish newspapers--Massachusetts.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 3, no. 26 (Feb. 26, 1948).",,,,0101000020E61000000E9F7422C1C751C0BDFE243E772A4540,156,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Journal,Biweekly (except July-Aug.),http://chroniclingamerica.loc.gov/lccn/sn95068744,"Swampscott, Mass.",North Shore Jewish Press,sn95068744,32108231,English,1977-01-01 00:00:00+00,1981-01-01 00:00:00+00,Salem,Essex,Massachusetts,42.51954,-70.896716,Massachusetts--Essex--Salem,Jewish newspapers--Massachusetts.,Jewish newspapers.--fast--(OCoLC)fst00982872,Issued for the Jewish Federation of the North Shore.,"Published in Salem, Mass., Sept. 23, 1977-1981.",,,0101000020E6100000327381CB63B951C05F7B664980424540,157,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Index,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068750,Philadelphia [Pa.],"Pincus, Mendelsohn & Co.",sn95068750,32141405,English,1872-01-01 00:00:00+00,1873-01-01 00:00:00+00,Philadelphia,Philadelphia,Pennsylvania,39.952584,-75.165222,Pennsylvania--Philadelphia--Philadelphia,Jewish newspapers--Pennsylvania.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 1, no. 2 (Oct. 16, 1872).",,,,0101000020E61000001AA54BFF92CA52C0B058C345EEF94340,158,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Southern Shofar,Monthly,http://chroniclingamerica.loc.gov/lccn/sn95068755,"Birmingham, AL",L. Brook,sn95068755,32145723,English,1990-01-01 00:00:00+00,1999-01-01 00:00:00+00,Birmingham,Jefferson,Alabama,33.520661,-86.80249,Alabama--Jefferson--Birmingham,Alabama.--fast--(OCoLC)fst01204694,Jewish newspapers--Alabama.,"""The monthly newspaper of Alabama's Jewish community.""","Description based on: Vol. 3, issue 11 (Oct. 1993).",Some issues also available on the Internet via the World Wide Web.,,0101000020E61000007E5704FF5BB355C0BDA60705A5C24040,160,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
H“£Adshot La = Los Angeles Hebrew Weekly,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068756,"Woodland Hills [Los Angeles], Calif.",Los Angeles Hebrew Media,sn95068756,32147101,Hebrew,1988-01-01 00:00:00+00,,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,Description based on: Gil. mis. 5 (17 be-Yuni 1988).,In Hebrew.,,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,161,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Comment,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068762,"Baltimore, Md.",Jewish Comment Pub. Co.,sn95068762,32159342,English,1895-01-01 00:00:00+00,1918-01-01 00:00:00+00,Baltimore,,Maryland,39.290385,-76.612189,Maryland--Baltimore,Jewish newspapers--Maryland.,Jewish newspapers.--fast--(OCoLC)fst00982872,In English and Hebrew.,,,,0101000020E6100000247EC51A2E2753C0DE1FEF552BA54340,162,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Oakland Scribe,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068763,"Oakland, Calif.",Walter Secord,sn95068763,32174640,English,1933-01-01 00:00:00+00,1934-01-01 00:00:00+00,Oakland,Alameda,California,37.804364,-122.271114,California--Alameda--Oakland,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,,,,,0101000020E610000037DF88EE59915EC0350A4966F5E64240,163,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Scribe,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068764,"Oakland, Calif.",Walter Secord,sn95068764,32177115,English,1934-01-01 00:00:00+00,1936-01-01 00:00:00+00,Oakland,Alameda,California,37.804364,-122.271114,California--Alameda--Oakland,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,Published simultaneously in San Francisco.,,,,0101000020E610000037DF88EE59915EC0350A4966F5E64240,164,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Standard,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068765,Chicago [Ill.],Lester L. Bauer,sn95068765,32183723,English,1907-01-01 00:00:00+00,1999-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Illinois.--fast--(OCoLC)fst01205143,Jewish newspapers--Illinois.,"Description based on: Vol. 20, no. 40 (Feb. 6, 1909).",In English and Yiddish.,Yiddish section has a separate masthead with title: Der Idisher stí£endard.,,0101000020E61000008445459C4EE855C07214200A66F04440,165,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American Post,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068770,"Paterson, N.J.",Reuben Kaufman,sn95068770,32195905,English,1950-01-01 00:00:00+00,1971-01-01 00:00:00+00,Paterson,Passaic,New Jersey,40.916765,-74.171811,New Jersey--Passaic--Paterson,Jewish newspapers--New Jersey.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""Only Jewish weekly in northern New Jersey.""","Description based on: Vol. 5, no. 12 (Mar. 28, 1958).",,,0101000020E6100000F58590F3FE8A52C0088F368E58754440,166,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Times Of The South Jersey Seashore,,http://chroniclingamerica.loc.gov/lccn/sn98032816,"Pleasantville, N.J.",Jewish Times,sn98032816,39099953,English,1990-01-01 00:00:00+00,2000-01-01 00:00:00+00,Atlantic City,Atlantic,New Jersey,39.364283,-74.422927,New Jersey--Atlantic--Atlantic City,Jewish newspapers--New Jersey.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 2, no. 8 (Mar. 6, 1998).",,,,0101000020E61000001B66683C119B52C090BE49D3A0AE4340,167,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Digest,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060506,"Miami, Fla.",Jewish Digest,sn92060506,26626715,English,1926-01-01 00:00:00+00,,Miami,Dade,Florida,25.76168,-80.19179,Florida--Dade--Miami,Florida.--fast--(OCoLC)fst01205150,Jewish newspapers--Florida.,"""Tropical America's Jewish Organ.""",,,,0101000020E6100000CA6C9049460C54C06C04E275FDC23940,168,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Review,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060508,"Jersey City, N.J.",Review Pub.,sn92060508,26626836,English,1929-01-01 00:00:00+00,,Jersey City,Hudson,New Jersey,40.728157,-74.077642,New Jersey--Hudson--Jersey City,Jewish newspapers--New Jersey.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E6100000F2B22616F88452C03FADA23F345D4440,169,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Arbayt“£Er = The Workman,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060547,New York [N.Y.],Socialist Labor Club of New York,sn92060547,26875715,English,1904-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"In Yiddish, with occasional advertisements in English.","Published by: the Jewish Socialist Labor Federation, Apr. 24, 1909-<Aug. 12, 1911>.",,,0101000020E6100000282D5C56618052C0588E90813C5B4440,170,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Bostoner Idishe Sht“£Ime = The Boston Jewish Voice,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060548,"Boston, Mass.",Leavitt & Rubenstein Press,sn92060548,26875573,English,1913-01-01 00:00:00+00,1916-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"In Yiddish, with a bimonthly English section.",,,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,171,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Folk“£Sadv“£Ok“£At“£,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060562,New York [N.Y.],Michael Mintz & Co.,sn92060562,26998161,Yiddish,1888-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Published by: American Jewish Pub. Co., <1925>.",,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,172,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Post And Opinion,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060572,"New York, N.Y.",Gabriel Cohen,sn92060572,27095670,English,1966-01-01 00:00:00+00,1974-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,173,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Tog = The Day,Daily,http://chroniclingamerica.loc.gov/lccn/sn92060573,"New York, N.Y.",Day Pub. Co.,sn92060573,27010235,Yiddish,1953-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The National Jewish Daily.""",In Yiddish.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,174,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Idishe Arbayt“£Er V“£Elt“£ = Jewish Labor World,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060579,Chicago [Ill.],Jewish Socialist Pub. Assoc.,sn92060579,27017072,English,1908-01-01 00:00:00+00,,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"In Yiddish, with occasional advertisements in English.",,,,0101000020E61000008445459C4EE855C07214200A66F04440,175,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Free Press,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92058888,St. Louis [Mo.],M.C. Reefer,sn92058888,26176209,English,1885-01-01 00:00:00+00,1887-01-01 00:00:00+00,Saint Louis,,Missouri,38.627003,-90.199404,Missouri--Saint Louis,Jewish newspapers--Middle West.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: New ser., v. 1, no. 2 (Mar. 6, 1885).","Issues for <Mar. 6, 1885-> called also whole no. <243->.",,,0101000020E610000043ACFE08C38C56C038BF61A241504340,176,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
New York Jewish Citizen,Monthly (irregular),http://chroniclingamerica.loc.gov/lccn/sn94093007,New York [N.Y.],New York Jewish Citizen Pub. Co.,sn94093007,33390384,English,1929-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,"""New York's Jewish Home Paper.""",Editor: Henry E. Dann.,Microfilm.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,177,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Yidisher Sit“£Izen The Hebrew Citizen,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94093051,Boston [Mass.],Sarasohn & Co.,sn94093051,32783084,Yiddish,1893-01-01 00:00:00+00,1999-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--Massachusetts.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The only Hebrew paper in New England.""","Description based on: Vol. 1, no. 2 (Oct. 20, 1893).",In Yiddish.,Microfilm.,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,178,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
T“£Eglakhe Prese,Daily,http://chroniclingamerica.loc.gov/lccn/sn94093055,"Los Angeles, Calif.",Jewish Daily Press Pub. Co.,sn94093055,32783114,English,1934-01-01 00:00:00+00,,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,California.--fast--(OCoLC)fst01204928,Jewish newspapers--California.,"English title: Jewish daily press appears on masthead, Mar. 4-<May 1, 1934>.",In Yiddish and English.,Microfilm.,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,179,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Milv“£Ok“£Er V“£Okhenblat“£ Milwauker Wochenblat,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94090434,"Milwaukee, Wis.",Horwitz Print. & Pub. Co.,sn94090434,32605567,English,1914-01-01 00:00:00+00,1999-01-01 00:00:00+00,Milwaukee,Milwaukee,Wisconsin,43.038903,-87.906474,Wisconsin--Milwaukee--Milwaukee,Jewish newspapers--Wisconsin.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 12, no. 1 (Sept. 26, 1927).",In Yiddish and English.,"Issue for Dec. 13, 1946 contains supplement: The Second Exodus of the Jews, by Samuel Lubell.",Microfilm.,0101000020E6100000282B86AB03FA55C0AF5B04C6FA844540,181,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Folk“£Sadv“£Ok“£At“£,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94090580,New York [N.Y.],Michael Mintz & Co.,sn94090580,32555368,Yiddish,1888-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,Microfilm.,"Published by: American Jewish Pub. Co., <1925>.",,,0101000020E6100000282D5C56618052C0588E90813C5B4440,183,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Folk“£Sfreynd The Volksfreund,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94090581,"Pittsburg, Pa.",Y.Z. Glick,sn94090581,32555377,Hebrew,1889-01-01 00:00:00+00,1922-01-01 00:00:00+00,Pittsburgh,Allegheny,Pennsylvania,40.440625,-79.995886,Pennsylvania--Allegheny--Pittsburgh,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""A Jewish weekly.""","Description based on: Yohrg. 4, num. 136 (Ví£ayigash 652 [Jan. 15, 1892]).",In Yiddish and Hebrew.,Microfilm.,0101000020E6100000D522A298BCFF53C06666666666384440,184,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
